Dispenser  0 | iteration:  1 | t =  9.895380735397339 s |  mass :  3.372
Dispenser  1 | iteration:  1 | t =  34.10499382019043 s |  mass :  1.132
Dispenser  2 | iteration:  1 | t =  52.70577144622803 s |  mass :  1.716
Dispenser  0 | iteration:  2 | t =  61.303162574768066 s |  mass :  5.647
Dispenser  1 | iteration:  2 | t =  75.50986313819885 s |  mass :  2.151
Dispenser  2 | iteration:  2 | t =  89.30059361457825 s |  mass :  3.142
Dispenser  0 | iteration:  3 | t =  98.29727482795715 s |  mass :  8.392
Dispenser  1 | iteration:  3 | t =  112.50379467010498 s |  mass :  3.072
Dispenser  2 | iteration:  3 | t =  128.308039188385 s |  mass :  4.708
Dispenser  0 | iteration:  4 | t =  137.11303973197937 s |  mass :  10.559999999999999
Dispenser  1 | iteration:  4 | t =  150.31270456314087 s |  mass :  4.05
Dispenser  2 | iteration:  4 | t =  163.30455780029297 s |  mass :  6.159000000000001
Dispenser  0 | iteration:  5 | t =  171.90204095840454 s |  mass :  13.183
Dispenser  1 | iteration:  5 | t =  188.71295070648193 s |  mass :  5.051
Dispenser  2 | iteration:  5 | t =  200.71409964561462 s |  mass :  7.577000000000001
Dispenser  0 | iteration:  6 | t =  209.11928534507751 s |  mass :  15.753
Dispenser  1 | iteration:  6 | t =  221.71152925491333 s |  mass :  6.303
Dispenser  2 | iteration:  6 | t =  234.51188015937805 s |  mass :  9.027000000000001
Dispenser  0 | iteration:  7 | t =  243.50878190994263 s |  mass :  18.372
Dispenser  1 | iteration:  7 | t =  254.1191430091858 s |  mass :  7.179
Dispenser  2 | iteration:  7 | t =  267.51036977767944 s |  mass :  10.833000000000002
Dispenser  0 | iteration:  8 | t =  276.71495294570923 s |  mass :  20.995
Dispenser  1 | iteration:  8 | t =  290.1223146915436 s |  mass :  8.108
Dispenser  2 | iteration:  8 | t =  303.5136435031891 s |  mass :  12.170000000000002
Dispenser  0 | iteration:  9 | t =  311.91915106773376 s |  mass :  23.008000000000003
Dispenser  1 | iteration:  9 | t =  325.5186388492584 s |  mass :  9.125
Dispenser  2 | iteration:  9 | t =  343.3205542564392 s |  mass :  13.529000000000002
Dispenser  0 | iteration:  10 | t =  352.3174388408661 s |  mass :  25.982000000000003
Dispenser  1 | iteration:  10 | t =  363.918869972229 s |  mass :  10.051
Dispenser  2 | iteration:  10 | t =  383.7180471420288 s |  mass :  15.137000000000002
Dispenser  0 | iteration:  11 | t =  392.12385869026184 s |  mass :  27.935000000000002
Dispenser  1 | iteration:  11 | t =  406.92135286331177 s |  mass :  10.998
Dispenser  2 | iteration:  11 | t =  423.5245428085327 s |  mass :  16.702
Dispenser  0 | iteration:  12 | t =  432.92065167427063 s |  mass :  30.959000000000003
Dispenser  1 | iteration:  12 | t =  451.52180194854736 s |  mass :  12.158999999999999
Dispenser  2 | iteration:  12 | t =  466.31916093826294 s |  mass :  18.177000000000003
Dispenser  0 | iteration:  13 | t =  474.532888174057 s |  mass :  33.443000000000005
Dispenser  1 | iteration:  13 | t =  487.73194789886475 s |  mass :  13.130999999999998
Dispenser  2 | iteration:  13 | t =  504.92602348327637 s |  mass :  19.571
Dispenser  0 | iteration:  14 | t =  513.3314471244812 s |  mass :  35.93900000000001
Dispenser  1 | iteration:  14 | t =  526.7386984825134 s |  mass :  14.173999999999998
Dispenser  2 | iteration:  14 | t =  542.7345592975616 s |  mass :  21.292
Dispenser  0 | iteration:  15 | t =  551.7312626838684 s |  mass :  38.74600000000001
Dispenser  1 | iteration:  15 | t =  568.5264432430267 s |  mass :  15.039999999999997
Dispenser  2 | iteration:  15 | t =  580.1275641918182 s |  mass :  22.704
Dispenser  0 | iteration:  16 | t =  588.9321482181549 s |  mass :  40.82100000000001
Dispenser  1 | iteration:  16 | t =  607.7407305240631 s |  mass :  16.131999999999998
Dispenser  2 | iteration:  16 | t =  621.5309598445892 s |  mass :  24.174
Dispenser  0 | iteration:  17 | t =  630.9429256916046 s |  mass :  43.64100000000001
Dispenser  1 | iteration:  17 | t =  649.3366386890411 s |  mass :  17.108999999999998
Dispenser  2 | iteration:  17 | t =  666.1317601203918 s |  mass :  25.591
Dispenser  0 | iteration:  18 | t =  674.9367015361786 s |  mass :  45.96100000000001
Dispenser  1 | iteration:  18 | t =  689.3345470428467 s |  mass :  18.087
Dispenser  2 | iteration:  18 | t =  706.5450167655945 s |  mass :  27.088
Dispenser  0 | iteration:  19 | t =  715.3498680591583 s |  mass :  48.21400000000001
Dispenser  1 | iteration:  19 | t =  738.7445225715637 s |  mass :  19.04
Dispenser  2 | iteration:  19 | t =  757.345299243927 s |  mass :  28.841
Dispenser  0 | iteration:  20 | t =  766.7416198253632 s |  mass :  51.04400000000001
Dispenser  1 | iteration:  20 | t =  783.9519617557526 s |  mass :  20.087
Dispenser  2 | iteration:  20 | t =  799.9474921226501 s |  mass :  30.183
Dispenser  0 | iteration:  21 | t =  808.5446083545685 s |  mass :  53.34000000000001
Dispenser  1 | iteration:  21 | t =  822.1436765193939 s |  mass :  21.082
Dispenser  2 | iteration:  21 | t =  834.9438691139221 s |  mass :  31.589
Dispenser  0 | iteration:  22 | t =  844.5476224422455 s |  mass :  56.14400000000001
Dispenser  1 | iteration:  22 | t =  866.3448615074158 s |  mass :  22.155
